LittleBigPlanet 2,3.42
Need for Speed Underground,7.2
Kirby Super Star Ultra,2.96
LEGO Batman: The Videogame,3.15
Mass Effect 2,3.11
Nintendogs + cats,3.81
Dragon Quest VIII: Journey of the Cursed King,5.21
FIFA Soccer 13,8.24
Assassin's Creed II,5.27
Brain Age 2: More Training in Minutes a Day,15.3
Max Payne,3.31
Tom Clancy's The Division,3.61
Tomb Raider II,5.24
Dragon Quest VII: Warriors of Eden,4.47
Gran Turismo,10.95
Assassin's Creed III,6.5
Just Dance 3,10.26
Crash Team Racing,4.79
Splatoon,4.57
FIFA 15,4.82
The Legend of Zelda: A Link to the Past,4.61
Namco Museum,4.24
Assassin's Creed IV: Black Flag,3.34
FIFA Soccer 11,3.53
Pokemon Black/Pokemon White,15.32
Donkey Kong Land,3.91
Namco Museum Vol.3,4.05
Mike Tyson's Punch-Out!!,3.02
Tekken 4,3.44
FIFA Soccer 13,5.18
James Bond 007: Agent Under Fire,3.53
Far Cry 4,4.03
Driver,6.27
Halo 3: ODST,6.36
Super Smash Bros. Melee,7.07
Super Mario All-Stars,10.55
FIFA 16,8.49
Grand Theft Auto IV,10.57
Wii Sports,82.74
Dragon Warrior III,3.87
FIFA Soccer 10,3.63
Halo 3,12.14
LEGO Indiana Jones: The Original Adventures,3.78
Wii Fit Plus,22.0
Assassin's Creed,5.55
WWF SmackDown! 2: Know Your Role,3.2
Just Dance 4,6.91
Batman: Arkham Asylum,4.25
Fallout 3,4.96
Big Brain Academy: Wii Degree,3.82
James Bond 007: Nightfire,3.33
World Soccer Winning Eleven 7 International,2.9
Gran Turismo 3: A-Spec,14.98
Mario Kart DS,23.42
Call of Duty: Black Ops II,14.03
Battlefield: Bad Company 2,2.97
Dr. Mario,5.34
GoldenEye 007,8.09
Animal Crossing: City Folk,4.68
Uncharted 3: Drake's Deception,6.83
Nintendogs,24.76
Animal Crossing: Happy Home Designer,2.98
Heavy Rain,3.12
Clubhouse Games,3.5
Borderlands,3.44
Madden NFL 2003,4.14
Dragon Quest VI: Maboroshi no Daichi,3.19
Sports Champions,3.87
Halo: Reach,9.88
Driver 2,4.73
Tekken Tag Tournament,4.05
Halo: The Master Chief Collection,3.15
Star Fox,2.99
Final Fantasy X,8.05
FIFA Soccer 2005,3.7
Gears of War: Ultimate Edition,3.0
Metal Gear Solid 3: Snake Eater,4.23
Halo: Combat Evolved,6.43
007: Tomorrow Never Dies,3.21
Diablo III,5.2
Batman: Arkham City,5.53
Super Mario Advance,5.49
God of War,4.45
Super Mario Bros.,5.07
Star Wars Battlefront (2015),3.49
Gears of War 3,6.24
Tony Hawk's Pro Skater,5.02
Minecraft,5.42
Call of Duty: World at War,7.37
Pokemon Ruby/Pokemon Sapphire,15.85
